date,sku_id,units_sold,unit_price,promotion,product_name,category,list_price,reorder_point,day_name,month,is_weekend,is_holiday,on_hand_units,on_order_units
2025-01-01,118,23,850,0,Desk Organizer 18,Lighting,1800,25,Wednesday,1,0,1,,
2025-01-01,255,23,850,0,Office Desk 155,Electronics,600,28,Wednesday,1,0,1,,
2025-01-01,231,20,550,0,Table Lamp 131,Electronics,1500,33,Wednesday,1,0,1,,
2025-01-01,188,22,550,0,Notebook 88,Home Decor,999,57,Wednesday,1,0,1,,
2025-01-01,187,33,450,0,Mouse 87,Accessories,1200,78,Wednesday,1,0,1,,
2025-01-01,272,31,999,0,Wall Clock 172,Stationery,900,61,Wednesday,1,0,1,,
2025-01-01,118,35,850,1,Desk Organizer 18,Lighting,1800,25,Wednesday,1,0,1,,
2025-01-01,240,35,350,1,Drawer Unit 140,Stationery,250,26,Wednesday,1,0,1,,
2025-01-01,141,14,999,0,Office Chair 41,Furniture,2200,55,Wednesday,1,0,1,,
2025-01-01,119,32,650,0,Conference Chair 19,Electronics,1800,87,Wednesday,1,0,1,108.0,33.0
2025-01-01,206,35,700,1,Keyboard 106,Lighting,550,78,Wednesday,1,0,1,,
2025-01-01,296,23,650,0,Storage Box 196,Stationery,1200,34,Wednesday,1,0,1,,
2025-01-01,248,19,700,0,Notebook 148,Stationery,850,62,Wednesday,1,0,1,,
2025-01-01,253,24,350,0,Whiteboard 153,Furniture,850,31,Wednesday,1,0,1,,
2025-01-01,244,21,550,0,Bookshelf 144,Home Decor,450,66,Wednesday,1,0,1,,
2025-01-01,258,28,1200,0,Desk Organizer 158,Office Supplies,550,73,Wednesday,1,0,1,,
2025-01-01,203,23,550,0,Desk Lamp 103,Accessories,750,41,Wednesday,1,0,1,,
2025-01-01,126,20,1200,0,Keyboard 26,Lighting,1200,35,Wednesday,1,0,1,,
2025-01-01,268,22,999,0,Notebook 168,Home Decor,750,85,Wednesday,1,0,1,,
2025-01-01,191,32,1500,0,Table Lamp 91,Electronics,2200,32,Wednesday,1,0,1,,
2025-01-01,201,34,850,0,Office Chair 101,Storage,700,93,Wednesday,1,0,1,93.0,24.0
2025-01-01,175,41,850,1,Office Desk 75,Electronics,1500,24,Wednesday,1,0,1,,
2025-01-01,137,30,999,1,Laptop Stand 37,Storage,750,30,Wednesday,1,0,1,,
2025-01-01,286,34,650,1,Keyboard 186,Lighting,600,73,Wednesday,1,0,1,63.0,78.0
2025-01-01,286,34,650,1,Keyboard 186,Lighting,600,73,Wednesday,1,0,1,124.0,50.0
2025-01-01,257,37,550,1,Laptop Stand 157,Storage,350,42,Wednesday,1,0,1,97.0,20.0
2025-01-01,229,27,1200,0,File Cabinet 129,Furniture,999,28,Wednesday,1,0,1,,
2025-01-01,181,20,450,0,Office Chair 81,Furniture,2200,73,Wednesday,1,0,1,165.0,91.0
2025-01-01,265,19,650,0,Monitor Stand 165,Storage,350,64,Wednesday,1,0,1,,
