sku_id,week_start,weekly_units_sold,product_name,category,list_price,reorder_point,on_hand_units,on_order_units,promotion
101,2024-01-01,215,Office Chair 1,Furniture,350,82,,,0
101,2024-01-08,212,Office Chair 1,Furniture,350,82,,,0
101,2024-01-15,229,Office Chair 1,Furniture,350,82,,,0
101,2024-01-22,234,Office Chair 1,Furniture,350,82,,,0
101,2024-01-29,254,Office Chair 1,Furniture,350,82,,,0
101,2024-02-05,251,Office Chair 1,Furniture,350,82,,,0
101,2024-02-12,240,Office Chair 1,Furniture,350,82,,,0
101,2024-02-19,245,Office Chair 1,Furniture,350,82,,,0
101,2024-02-26,260,Office Chair 1,Furniture,350,82,,,0
101,2024-03-04,251,Office Chair 1,Furniture,350,82,,,0
101,2024-03-11,248,Office Chair 1,Furniture,350,82,,,0
101,2024-03-18,270,Office Chair 1,Furniture,350,82,,,0
101,2024-03-25,262,Office Chair 1,Furniture,350,82,,,0
101,2024-04-01,259,Office Chair 1,Furniture,350,82,,,0
101,2024-04-08,250,Office Chair 1,Furniture,350,82,,,0
101,2024-04-15,266,Office Chair 1,Furniture,350,82,,,0
101,2024-04-22,259,Office Chair 1,Furniture,350,82,,,0
101,2024-04-29,252,Office Chair 1,Furniture,350,82,,,0
101,2024-05-06,287,Office Chair 1,Furniture,350,82,,,1
101,2024-05-13,273,Office Chair 1,Furniture,350,82,,,0
101,2024-05-20,265,Office Chair 1,Furniture,350,82,,,0
101,2024-05-27,250,Office Chair 1,Furniture,350,82,,,0
101,2024-06-03,262,Office Chair 1,Furniture,350,82,,,0
101,2024-06-10,253,Office Chair 1,Furniture,350,82,,,0
101,2024-06-17,234,Office Chair 1,Furniture,350,82,,,0
101,2024-06-24,240,Office Chair 1,Furniture,350,82,,,0
101,2024-07-01,230,Office Chair 1,Furniture,350,82,,,0
101,2024-07-08,237,Office Chair 1,Furniture,350,82,,,0
101,2024-07-15,221,Office Chair 1,Furniture,350,82,,,1
101,2024-07-22,213,Office Chair 1,Furniture,350,82,,,1
101,2024-07-29,221,Office Chair 1,Furniture,350,82,,,0
101,2024-08-05,212,Office Chair 1,Furniture,350,82,,,0
101,2024-08-12,208,Office Chair 1,Furniture,350,82,,,0
101,2024-08-19,209,Office Chair 1,Furniture,350,82,,,1
101,2024-08-26,206,Office Chair 1,Furniture,350,82,,,0
101,2024-09-02,210,Office Chair 1,Furniture,350,82,,,1
101,2024-09-09,182,Office Chair 1,Furniture,350,82,,,0
101,2024-09-16,208,Office Chair 1,Furniture,350,82,,,0
101,2024-09-23,206,Office Chair 1,Furniture,350,82,,,1
101,2024-09-30,178,Office Chair 1,Furniture,350,82,,,0
101,2024-10-07,193,Office Chair 1,Furniture,350,82,,,0
101,2024-10-14,203,Office Chair 1,Furniture,350,82,,,0
101,2024-10-21,194,Office Chair 1,Furniture,350,82,,,0
101,2024-10-28,199,Office Chair 1,Furniture,350,82,,,0
101,2024-11-04,211,Office Chair 1,Furniture,350,82,,,0
101,2024-11-11,221,Office Chair 1,Furniture,350,82,,,0
101,2024-11-18,212,Office Chair 1,Furniture,350,82,,,0
101,2024-11-25,240,Office Chair 1,Furniture,350,82,,,1
101,2024-12-02,220,Office Chair 1,Furniture,350,82,,,0
101,2024-12-09,243,Office Chair 1,Furniture,350,82,,,0
101,2024-12-16,248,Office Chair 1,Furniture,350,82,,,1
101,2024-12-23,244,Office Chair 1,Furniture,350,82,,,0
101,2024-12-30,234,Office Chair 1,Furniture,350,82,,,0
101,2025-01-06,271,Office Chair 1,Furniture,350,82,153.0,66.0,1
101,2025-01-13,258,Office Chair 1,Furniture,350,82,178.0,0.0,0
101,2025-01-20,284,Office Chair 1,Furniture,350,82,178.0,0.0,0
101,2025-01-27,268,Office Chair 1,Furniture,350,82,98.0,61.0,0
101,2025-02-03,283,Office Chair 1,Furniture,350,82,244.0,12.0,0
101,2025-02-10,291,Office Chair 1,Furniture,350,82,141.0,47.0,0
101,2025-02-17,277,Office Chair 1,Furniture,350,82,43.0,35.0,0
101,2025-02-24,275,Office Chair 1,Furniture,350,82,196.0,23.0,0
101,2025-03-03,335,Office Chair 1,Furniture,350,82,125.0,89.0,0
101,2025-03-10,285,Office Chair 1,Furniture,350,82,125.0,89.0,0
101,2025-03-17,281,Office Chair 1,Furniture,350,82,242.0,26.0,0
101,2025-03-24,280,Office Chair 1,Furniture,350,82,242.0,26.0,0
101,2025-03-31,294,Office Chair 1,Furniture,350,82,152.0,97.0,0
101,2025-04-07,313,Office Chair 1,Furniture,350,82,42.0,16.0,0
101,2025-04-14,299,Office Chair 1,Furniture,350,82,42.0,16.0,0
101,2025-04-21,302,Office Chair 1,Furniture,350,82,29.0,99.0,0
101,2025-04-28,291,Office Chair 1,Furniture,350,82,29.0,99.0,0
101,2025-05-05,296,Office Chair 1,Furniture,350,82,42.0,37.0,0
101,2025-05-12,296,Office Chair 1,Furniture,350,82,104.0,65.0,0
101,2025-05-19,299,Office Chair 1,Furniture,350,82,205.0,98.0,0
101,2025-05-26,286,Office Chair 1,Furniture,350,82,134.0,69.0,0
101,2025-06-02,267,Office Chair 1,Furniture,350,82,107.0,54.0,0
101,2025-06-09,280,Office Chair 1,Furniture,350,82,186.0,73.0,0
101,2025-06-16,256,Office Chair 1,Furniture,350,82,249.0,78.0,0
101,2025-06-23,267,Office Chair 1,Furniture,350,82,171.0,70.0,0
101,2025-06-30,258,Office Chair 1,Furniture,350,82,161.0,94.0,0
101,2025-07-07,260,Office Chair 1,Furniture,350,82,213.0,88.0,0
101,2025-07-14,261,Office Chair 1,Furniture,350,82,213.0,88.0,0
101,2025-07-21,252,Office Chair 1,Furniture,350,82,14.0,31.0,0
101,2025-07-28,234,Office Chair 1,Furniture,350,82,65.0,16.0,0
101,2025-08-04,240,Office Chair 1,Furniture,350,82,193.0,57.0,0
101,2025-08-11,238,Office Chair 1,Furniture,350,82,153.0,69.0,0
101,2025-08-18,227,Office Chair 1,Furniture,350,82,229.0,34.0,1
101,2025-08-25,234,Office Chair 1,Furniture,350,82,71.0,94.0,0
101,2025-09-01,213,Office Chair 1,Furniture,350,82,146.0,11.0,0
101,2025-09-08,228,Office Chair 1,Furniture,350,82,29.0,25.0,0
101,2025-09-15,220,Office Chair 1,Furniture,350,82,203.0,4.0,0
101,2025-09-22,211,Office Chair 1,Furniture,350,82,203.0,4.0,0
101,2025-09-29,217,Office Chair 1,Furniture,350,82,81.0,100.0,0
101,2025-10-06,241,Office Chair 1,Furniture,350,82,149.0,88.0,0
101,2025-10-13,228,Office Chair 1,Furniture,350,82,165.0,95.0,0
101,2025-10-20,211,Office Chair 1,Furniture,350,82,75.0,67.0,0
101,2025-10-27,250,Office Chair 1,Furniture,350,82,152.0,50.0,1
101,2025-11-03,237,Office Chair 1,Furniture,350,82,208.0,62.0,0
101,2025-11-10,264,Office Chair 1,Furniture,350,82,227.0,18.0,0
101,2025-11-17,250,Office Chair 1,Furniture,350,82,44.0,60.0,0
101,2025-11-24,257,Office Chair 1,Furniture,350,82,14.0,88.0,0
101,2025-12-01,251,Office Chair 1,Furniture,350,82,38.0,33.0,0
101,2025-12-08,261,Office Chair 1,Furniture,350,82,73.0,65.0,0
101,2025-12-15,279,Office Chair 1,Furniture,350,82,73.0,65.0,0
101,2025-12-22,267,Office Chair 1,Furniture,350,82,67.0,36.0,0
101,2025-12-29,108,Office Chair 1,Furniture,350,82,232.0,31.0,0
102,2024-01-01,201,Study Table 2,Lighting,999,55,,,0
102,2024-01-08,188,Study Table 2,Lighting,999,55,,,0
102,2024-01-15,199,Study Table 2,Lighting,999,55,,,0
102,2024-01-22,199,Study Table 2,Lighting,999,55,,,0
102,2024-01-29,205,Study Table 2,Lighting,999,55,,,0
102,2024-02-05,199,Study Table 2,Lighting,999,55,,,1
102,2024-02-12,211,Study Table 2,Lighting,999,55,,,0
102,2024-02-19,207,Study Table 2,Lighting,999,55,,,0
102,2024-02-26,205,Study Table 2,Lighting,999,55,,,0
102,2024-03-04,217,Study Table 2,Lighting,999,55,,,0
102,2024-03-11,204,Study Table 2,Lighting,999,55,,,0
102,2024-03-18,229,Study Table 2,Lighting,999,55,,,0
102,2024-03-25,240,Study Table 2,Lighting,999,55,,,0
102,2024-04-01,207,Study Table 2,Lighting,999,55,,,0
102,2024-04-08,204,Study Table 2,Lighting,999,55,,,0
102,2024-04-15,237,Study Table 2,Lighting,999,55,,,0
