sku_id,week_start,weekly_units_sold,avg_unit_price,promotion_rate,list_price,reorder_point,on_hand_units,on_order_units,lag_1,lag_2,lag_4,rolling_mean_4,rolling_std_4,rolling_mean_8,inventory_gap,total_inventory,year,month,week,quarter
101,2024-12-30,32,0.0,0.0,350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,12,1,4
101,2025-01-06,157,250.0,1.0,350,82.0,0.0,0.0,32.0,0.0,0.0,32.0,0.0,32.0,0.0,0.0,2025,1,2,1
101,2025-02-03,127,250.0,0.2,350,82.0,28.0,12.0,157.0,32.0,0.0,94.5,88.38834764831844,94.5,-54.0,40.0,2025,2,6,1
101,2025-02-24,65,250.0,0.0,350,82.0,196.0,23.0,127.0,157.0,0.0,105.33333333333333,65.2559065015063,105.33333333333333,114.0,219.0,2025,2,9,1
101,2025-03-03,51,250.0,1.0,350,82.0,196.0,23.0,65.0,127.0,32.0,95.25,56.97002135626538,95.25,114.0,219.0,2025,3,10,1
101,2025-03-10,58,250.0,0.0,350,82.0,205.0,82.0,51.0,65.0,157.0,100.0,50.34547314969506,86.4,123.0,287.0,2025,3,11,1
101,2025-03-31,106,250.0,0.5,350,82.0,148.0,91.0,58.0,51.0,127.0,75.25,34.97022543059548,81.66666666666667,66.0,239.0,2025,3,14,1
101,2025-04-07,181,250.0,0.25,350,82.0,33.0,71.0,106.0,58.0,65.0,70.0,24.67117075995111,85.14285714285714,-49.0,104.0,2025,4,15,2
101,2025-04-28,30,250.0,0.4,350,82.0,38.0,33.0,181.0,106.0,51.0,99.0,59.88321968631947,97.125,-44.0,71.0,2025,4,18,2
101,2025-05-05,198,250.0,0.0,350,82.0,38.0,33.0,30.0,181.0,58.0,93.75,66.09273787641119,96.875,-44.0,71.0,2025,5,19,2
101,2025-05-26,27,250.0,0.3333333333333333,350,82.0,208.0,62.0,198.0,30.0,106.0,128.75,77.01677306491965,102.0,126.0,270.0,2025,5,22,2
101,2025-06-02,216,250.0,0.0,350,82.0,208.0,62.0,27.0,198.0,181.0,109.0,93.22016949137134,89.5,126.0,270.0,2025,6,23,2
101,2025-06-09,42,250.0,0.16666666666666666,350,82.0,244.0,12.0,216.0,27.0,30.0,117.75,103.32594059576714,108.375,162.0,256.0,2025,6,24,2
101,2025-06-30,102,250.0,1.0,350,82.0,146.0,11.0,42.0,216.0,198.0,120.75,100.05123687391375,107.25,64.0,157.0,2025,6,27,2
101,2025-07-07,173,250.0,0.0,350,82.0,146.0,11.0,102.0,42.0,27.0,96.75,85.85016016292573,112.75,64.0,157.0,2025,7,28,3
101,2025-07-28,55,250.0,0.6666666666666666,350,82.0,146.0,11.0,173.0,102.0,216.0,133.25,76.87815034195347,121.125,64.0,157.0,2025,7,31,3
101,2025-08-04,119,250.0,0.0,350,82.0,40.0,12.0,55.0,173.0,42.0,93.0,59.23399924592858,105.375,-42.0,52.0,2025,8,32,3
101,2025-08-11,24,250.0,0.25,350,82.0,43.0,66.0,119.0,55.0,102.0,112.25,48.71259248558495,116.5,-39.0,109.0,2025,8,33,3
101,2025-09-01,155,250.0,0.0,350,82.0,43.0,66.0,24.0,119.0,173.0,92.75,66.535078467427,94.75,-39.0,109.0,2025,9,36,3
101,2025-09-08,153,250.0,0.4,350,82.0,125.0,89.0,155.0,24.0,55.0,88.25,59.53920277150735,110.75,43.0,214.0,2025,9,37,3
101,2025-09-29,19,250.0,0.5,350,82.0,219.0,95.0,153.0,155.0,119.0,112.75,61.42949888557886,102.875,137.0,314.0,2025,9,40,3
101,2025-10-06,296,250.0,0.0,350,82.0,219.0,95.0,19.0,153.0,24.0,87.75,76.53049501124808,100.0,137.0,314.0,2025,10,41,4
101,2025-10-27,67,250.0,0.3333333333333333,350,82.0,212.0,58.0,296.0,19.0,155.0,155.75,113.10577645136726,124.25,130.0,270.0,2025,10,44,4
101,2025-11-03,122,250.0,0.0,350,82.0,92.0,3.0,67.0,296.0,153.0,133.75,121.54388782109393,111.0,10.0,95.0,2025,11,45,4
101,2025-11-10,32,250.0,0.5,350,82.0,34.0,45.0,122.0,67.0,19.0,126.0,120.89389287029074,119.375,-48.0,79.0,2025,11,46,4
101,2025-12-01,246,250.0,1.0,350,82.0,34.0,45.0,32.0,122.0,296.0,129.25,117.1761494503041,108.5,-48.0,79.0,2025,12,49,4
101,2025-12-08,38,250.0,0.2,350,82.0,213.0,88.0,246.0,32.0,67.0,116.75,93.79187953477991,136.25,131.0,301.0,2025,12,50,4
102,2024-12-30,113,0.0,0.0,999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,12,1,4
102,2025-01-06,204,1500.0,0.3333333333333333,999,55.0,165.0,16.0,113.0,0.0,0.0,113.0,0.0,113.0,110.0,181.0,2025,1,2,1
102,2025-02-03,83,1500.0,0.3333333333333333,999,55.0,78.0,94.0,204.0,113.0,0.0,158.5,64.34671708797582,158.5,23.0,172.0,2025,2,6,1
102,2025-02-10,38,1500.0,0.5,999,55.0,144.0,31.0,83.0,204.0,0.0,133.33333333333334,63.010581122009455,133.33333333333334,89.0,175.0,2025,2,7,1
102,2025-02-24,50,1500.0,0.0,999,55.0,144.0,31.0,38.0,83.0,113.0,109.5,70.13558298039591,109.5,89.0,175.0,2025,2,9,1
102,2025-03-03,93,1500.0,0.0,999,55.0,144.0,31.0,50.0,38.0,204.0,93.75,75.92265801458745,97.6,89.0,175.0,2025,3,10,1
